id	name	pop_2000	x	y
2052	Sand Lake	7987	619084.2266	4720590.411
2053	Bethlehem	31304	596709.0381	4715404.157
2054	New Lisbon	1116	488501.6362	4718976.502
2055	Jerusalem	4525	323252.8044	4719649.125
2056	North Collins	3376	182864.9451	4720399.065
2057	Milo	7026	335723.9954	4720012.369
2058	New Scotland	8626	586902.4418	4717488.573
2059	Pittsfield	1295	477871.2976	4717961.08
2060	Sardinia	2692	208635.9045	4718263.256
2061	Worcester	2207	523453.1977	4714585.986
2062	Brant	1906	169130.4293	4722297.053
2063	Taylor	500	423925.4738	4717730.979
2064	East Greenbush	15560	606866.4482	4718583.124
2065	Homer	6363	404141.1467	4724396.559
2066	Berne	2846	572534.3886	4715977.238
2067	Eagle	1194	233247.1632	4717640.348
2068	Solon	1108	416186.5222	4717375.874
2069	Naples	2441	300845.1633	4721735.604
2070	North Norwich	1966	459102.5944	4717089.119
2071	Genesee Falls	460	248772.8337	4717606.852
2072	Plymouth	2049	450058.546	4716592.142
2073	Portage	859	253906.591	4716413.539
2074	Richmondville	2412	537019.0106	4720797.474
2075	Pharsalia	542	439812.3463	4716022.755
2076	Pitcher	848	431426.747	4715861.23
2077	Fulton	1495	545760.7659	4712652.892
2078	Covert	2227	360592.9	4716212.23
2079	Lodi	1476	349905.7317	4716462.045
2080	Yorkshire	4210	211313.5582	4709454.188
2081	McDonough	870	440363.2747	4705657.178
2082	Hanover	7638	161168.6495	4712956.296
2083	Nunda	3017	262125.4779	4716502.868
2084	Sparta	1627	278798.7263	4723001.556
2085	North Dansville	5738	279051.7566	4715282.52
2086	Middleburgh	3515	555619.3124	4717468.214
2087	Maryland	1920	511785.2698	4710133.958
2088	Pike	1086	242294.1325	4717312.132
2089	Cortlandville	7919	404703.1475	4715853.18
2090	Groton	5794	388414.3107	4715592.846
2091	Ossian	751	271563.5671	4711278.416
2092	Prattsburg	2064	309191.493	4711469.675
2093	Pulteney	1405	319674.7068	4709980.22
2094	Milford	2938	501809.6486	4710434.356
2095	Barrington	1396	331737.5691	4710632.572
2096	Wayland	4314	287158.2928	4711723.282
2097	Arcade	4184	222030.6395	4717879.593
2098	Concord	8526	195575.4182	4716958.077
2099	Freedom	2493	222396.4521	4708411.543
2100	Ashford	2223	200180.9557	4705190.78
2101	Westerlo	3466	578902.503	4705349.862
2102	Cincinnatus	1051	424371.0592	4708561.87
2103	Centerville	762	232895.702	4708078.033
2104	Dansville	1977	280806.0905	4705327.896
2105	Broome	947	558156.8798	4705858.133
2106	Hume	1987	242989.0989	4707863.426
2107	Freetown	789	416354.1444	4708360.417
2108	Norwich	3836	459900.5934	4706362.473
2109	Dunkirk	1387	143894.4687	4711273.084
2110	Virgil	2287	404182.5723	4707705.719
2111	Ulysses	4775	367174.4191	4707937.589
2112	Morris	1867	478300.9337	4709548.656
2113	Granger	577	252520.0818	4706885.393
2114	Preston	928	449639.8777	4706243.903
2115	Grove	533	261792.008	4706754.532
2116	Rensselaerville	1915	567878.9298	4702864.895
2117	Portland	5502	132146.7053	4700147.083
2118	Lapeer	686	408780.3647	4699967.982
2119	Farmersville	1028	221252.4681	4698950.36
2120	Harford	920	400722.4871	4699811.446
2121	Rushford	1259	232471.2779	4698471.254
2122	Schodack	12536	607929.3736	4709425.872
2123	Jefferson	1285	531820.4722	4704213.674
2124	German	378	431960.3621	4705292.936
2125	Starkey	3465	340306.7488	4709486.758
2126	Blenheim	330	541963.8098	4703601.245
2127	Pomfret	14703	141709.1353	4703696.145
2128	Cohocton	2626	296227.2122	4710014.121
2129	Collins	8307	180198.3727	4712607.841
2130	Perrysburg	1771	170287.2234	4710920.915
2131	East Otto	1105	191882.3331	4701080.342
2132	Laurens	2402	490381.3637	4709445.925
2133	Nassau	4818	619331.2155	4711121.905
2134	Oneonta	4994	494579.7995	4701474.855
2135	Wayne	1165	324391.4841	4700952.717
2136	Otto	831	184001.1211	4701034.629
2137	Lansing	10521	374289.5018	4713835.889
2138	New Lebanon	2454	628377.0565	4703040.588
2139	Persia	2512	177687.125	4701326.895
2140	Arkwright	1126	151257.4858	4702004.947
2141	Great Valley	2145	199592.7466	4677592.195
2142	Salamanca	6097	192451.1856	4674732.978
2143	Hamptonburgh	4686	562318.4166	4588840.798
2144	Davenport	2774	507990.7078	4700318.792
2145	Wheeler	1263	307338.3928	4701563.37
2146	Villenova	1121	160910.2633	4701499.354
2147	Coeymans	8151	591736.6207	4705184.579
2148	Dryden	13532	388504.4211	4703823.961
2149	Gilboa	1215	544821.8655	4697711.644
2150	Burns	1248	271189.8091	4702317.209
2151	Tyrone	1714	331681.3715	4700331.028
2152	Machias	2482	210002.1207	4699946.424
2153	Willet	1011	424674.3367	4700225.869
2154	Enfield	3369	365939.7338	4699508.296
2155	Roxbury	2509	537043.7491	4682972.825
2156	Newfield	5108	367121.102	4688527.119
2157	Otego	3183	484612.3176	4697469.876
2158	New Albion	2068	179820.2529	4690804.929
2159	Lyndon	661	222820.0676	4689136.38
2160	Franklinville	3128	211505.7656	4689623.508
2161	New Hudson	736	232067.8776	4688734.146
2162	Belfast	1714	241743.6341	4688316.314
2163	West Almond	353	261143.6518	4687635.232
2164	Chatham	4249	616737.7589	4697930.003
2165	Fremont	964	285745.5911	4697418.15
2166	Caneadea	2694	242130.3077	4698035.165
2167	Butternuts	1792	473551.9838	4701738.649
2168	Stuyvesant	2188	602666.6836	4695419.157
2169	Allen	462	251820.9672	4697637.273
2170	Birdsall	268	261493.0961	4697314.7
2171	Kortright	1633	517901.9322	4693262.643
2172	New Baltimore	3417	593900.9416	4696934.775
2173	Guilford	3046	462375.3652	4694441.945
2174	Marathon	2189	416790.4419	4700034.628
2175	Smithville	1347	437573.4796	4696389.464
2176	Howard	1430	292448.8684	4690007.724
2177	Oxford	3992	451355.0238	4694380.028
2178	Nichols	2584	388298.0899	4653949.952
2179	Ulster	12544	582530.831	4646949.485
2180	Hurley	6564	573296.0531	4645958.185
2181	Olive	4579	561090.5131	4644163.688
2182	Pine Plains	2569	611719.2192	4647253.346
2183	Rockland	3913	516829.4001	4642994.967
2184	Kingston	908	578914.0677	4648581.871
2185	Red Hook	10408	592852.4532	4652461.875
2186	Northeast	3002	620860.9345	4644642.334
2187	Hancock	3449	486472.0186	4645043.385
2188	Neversink	3553	533937.1004	4635648.345
2189	Marbletown	5854	569481.8092	4635665.749
