id	name	pop_2000	x	y
1621	Carmel	33006	606,712.9382	4,582,821.712
1623	Greenville	3800	533,942.1894	4,580,327.616
1624	Southeast	17316	617,199.6141	4,584,465.468
1625	Wawayanda	6273	545,006.1773	4,581,555.328
1626	Franklin	1197	575,438.6103	4,930,889.896
1627	Peru	6370	614,625.9286	4,937,542.438
1628	Glen Cove	26622	615,574.1446	4,525,327.755
1629	New York	8008278	589,685.1086	4,501,931.714
1630	Long Beach	35462	612,901.1014	4,493,950.359
1631	Mooers	3404	605,643.6796	4,979,266.799
1632	Clinton	727	584,805.4231	4,977,861.287
1633	Champlain	5791	623,633.9651	4,979,603.822
1634	Fort Covington	1645	540,256.7171	4,977,538.164
1635	Westville	1823	548,389.6408	4,976,762.183
1636	Constable	1428	556,315.7858	4,976,993.093
1637	Minetto	1663	379,974.6957	4,806,149.594
1638	Bombay	1192	531,200.3156	4,976,574.808
1639	Ellenburg	1812	588,153.4368	4,965,706.163
1640	Brasher	2337	521,206.2599	4,969,239.108
1641	Massena	13121	513,093.8143	4,978,622.067
1642	Chateaugay	2036	573,034.1228	4,975,650.994
1643	Chazy	4181	621,741.9153	4,968,737.41
1644	Louisville	3195	498,906.5104	4,972,571.933
1645	Altona	3160	605,390.4868	4,967,127.015
1646	Burke	1359	564,544.0878	4,975,076.723
1647	Bangor	2147	545,025.319	4,965,061.712
1648	Bellmont	1423	572,059.9637	4,955,382.738
1649	Waddington	2212	484,570.423	4,964,393.275
1650	Malone	14981	556,474.65	4,960,502.376
1651	Orange	1752	332,339.7948	4,688,735.582
1652	Reading	1786	340,513.1111	4,698,203.462
1653	Danby	3007	378,654.7764	4,687,800.752
1654	Thurston	1309	311,494.077	4,677,606.159
1655	Hornby	1742	332,243.204	4,677,634.104
1656	Greenport	4180	599,553.8539	4,675,748.096
1657	Veteran	3271	352,411.683	4,678,720.108
1658	Windham	1660	565,223.1549	4,685,029.114
1659	Stamford	1943	528,147.8671	4,688,631.184
1660	Dix	4197	342,762.5776	4,688,958.433
1661	Cherry Creek	1152	160,425.9312	4,691,777.341
1662	Coxsackie	8884	593,700.2718	4,688,875.332
1663	Prattsville	665	548,234.0577	4,685,705.559
1664	Mohawk	3902	549,253.5393	4,756,239.079
1665	Florida	2731	564,408.3682	4,748,910.271
1666	York	3219	264,178.0697	4,750,027.205
1667	Humphrey	721	209,265.3563	4,679,974.568
1668	Hartsville	585	278,696.7478	4,679,381.974
1669	Bath	12097	309,832.2371	4,688,102.201
1670	Canisteo	3583	290,095.3501	4,679,068.074
1671	Bainbridge	3401	460,696.2424	4,682,738.176
1672	Catlin	2649	342,788.6167	4,678,735.029
1673	Friendship	1927	241,431.6772	4,678,622.85
1674	Cameron	1034	301,484.9568	4,676,239.683
1675	Alfred	5140	269,865.3386	4,680,030.328
1676	Ward	390	260,760.2869	4,678,910.411
1677	Catskill	11849	587,211.1559	4,673,224.161
1678	Tompkins	1105	478,128.5878	4,662,052.478
1679	Scio	1914	251,624.7643	4,670,244.777
1680	Greenwood	849	278,627.8118	4,669,407.411
1681	Jewett	970	564,279.1809	4,677,520.282
1682	Clarksville	1146	231,397.9689	4,669,337.156
1683	Jasper	1270	290,696.6505	4,668,580.213
1684	Big Flats	7224	341,837.2139	4,666,960.345
1685	Van Etten	1518	369,674.1222	4,674,523.494
1686	Rathbone	1080	307,007.2705	4,667,581.131
1687	Livingston	3424	599,537.3145	4,666,072.233
1688	Hunter	2721	570,079.2244	4,668,414.822
1689	Erwin	7227	323,021.8334	4,667,303.132
1690	Andover	1945	268,099.5758	4,670,374.465
1691	Ellicott	9280	149,792.4939	4,673,169.149
1692	Taghkanic	1118	609,637.6872	4,665,431.631
1693	Copake	3278	619,743.0335	4,665,063.383
1694	Red House	38	188,619.1526	4,663,859.48
1695	Seneca	2731	330,522.5862	4,744,376.855
1696	Athens	3991	594,152.3379	4,681,503.389
1697	Campbell	3691	321,564.5512	4,677,369.024
1698	Lexington	830	552,933.4436	4,672,240.256
1699	Ischua	895	220,059.2	4,680,950.219
1700	Masonville	1405	471,506.816	4,675,471.425
1701	Hillsdale	1744	621,113.3662	4,675,737.03
1702	Cuba	3392	231,725.7299	4,679,003.138
1703	Mina	1176	111,253.2455	4,674,909.573
1704	Amity	2245	250,986.4901	4,678,422.614
1705	Halcott	193	543,163.7042	4,674,269.67
1706	Hinsdale	2270	220,707.8557	4,673,809.759
1707	Claverack	6401	608,336.8828	4,675,421.97
1708	Maine	5459	414,833.426	4,672,520.657
1709	North Harmony	2521	131,891.8397	4,673,449.495
1710	Erin	2054	361,878.7095	4,671,609.347
1711	Sherman	1553	120,960.334	4,674,358.707
1712	Ellery	4576	139,994.9683	4,679,790.782
1713	Fenton	6909	433,859.8308	4,672,424.742
1714	Colesville	5441	445,242.5214	4,669,330.503
1715	Poland	2467	159,525.4462	4,672,452.804
1716	Conewango	1732	169,706.4029	4,681,600.996
1717	Chenango	11454	425,783.2975	4,671,867.698
1718	Candor	5317	390,042.8155	4,676,392.211
1719	Randolph	2681	169,288.933	4,671,889.308
1720	Afton	2977	456,742.7722	4,675,173.922
1721	Newark Valley	4097	404,021.4301	4,675,992.683
1722	Spencer	2979	377,934.1992	4,674,638.647
1723	Windsor	6421	445,427.2609	4,657,047.154
1724	Deposit	1687	468,740.4541	4,659,212.791
1725	Sanford	2477	460,137.5589	4,660,049.282
1726	Milan	4559	601,450.5315	4,647,681.1
1727	Chemung	2665	366,022.2819	4,656,515.561
1728	Ashland	1951	354,770.9274	4,653,992.666
1729	Barton	9066	376,065.5813	4,659,896.759
1730	Busti	7760	142,980.7915	4,664,255.798
1731	Germantown	2018	593,094.8061	4,665,268.868
1732	French Creek	935	110,692.1484	4,665,221.991
1733	Walton	5607	489,455.9903	4,669,091.309
1734	Clymer	1501	120,381.594	4,664,651.768
1735	Harmony	2339	131,270.9997	4,664,055.658
1736	Shandaken	3235	550,266.7967	4,657,649.501
1737	Woodhull	1524	302,022.5647	4,659,058.584
1738	Tioga	4840	386,997.0592	4,661,854.649
1739	Carroll	3635	159,435.1168	4,663,062.459
1740	Cold Spring	751	179,049.2917	4,667,269.295
1741	Clermont	1726	594,613.6573	4,659,809.932
1742	Wellsville	7678	258,454.0589	4,667,295.138
1743	Kiantone	1385	152,342.1259	4,662,109.513
1744	Kirkwood	5651	433,576.5359	4,659,959.935
1745	Corning	6426	333,085.2866	4,667,289.838
1746	Horseheads	19561	351,809.5589	4,669,391.462
1747	Dickinson	5335	424,847.2975	4,664,638.834
1748	Addison	2640	314,846.7164	4,667,436.61
1749	Baldwin	853	362,435.5375	4,662,174.512
1750	Wirt	1215	241,096.1995	4,668,947.062
1751	Independence	1074	268,774.9429	4,659,256.779
1752	Elmira	7199	353,135.6691	4,661,728.291
1753	West Union	399	277,283.048	4,658,810.105
1754	Genesee	1803	231,027.7698	4,659,658.673
1755	Troupsburg	1126	289,339.2126	4,658,236.799
1756	Hardenburgh	208	532,007.3131	4,654,708.2
1757	Owego	20365	401,538.9055	4,660,240.166
1758	Alma	847	250,452.208	4,658,947.395
1759	Willing	1371	260,123.4097	4,658,537.165
1760	Bolivar	2223	240,718.8137	4,659,328.759
1761	Hamden	1280	501,269.224	4,672,032.066
1762	Andes	1356	517,335.7198	4,664,297.499
1763	Middletown	4051	530,937.5578	4,667,692.423
1764	Colchester	2042	503,429.0617	4,654,412.194
1765	Union	56298	414,649.2163	4,664,273.311
1766	Vestal	26535	415,109.2276	4,655,737.735
1767	Tuscarora	1400	313,081.35	4,657,277.137
1768	Woodstock	6241	569,045.8236	4,656,315.743
1769	Lindley	1913	322,738.4255	4,657,015.07
1770	Caton	2097	332,421.5271	4,656,885.337
1771	Gallatin	1499	606,724.5751	4,656,260.774
1772	Conklin	5940	430,967.3935	4,654,517.832
1773	Binghamton	4969	424,544.6822	4,654,841.292
1774	South Valley	302	169,799.823	4,661,860.888
1775	Ancram	1513	617,354.9929	4,654,653.152
1776	Southport	11185	344,559.0668	4,655,935.95
1777	Saugerties	19868	582,966.09	4,660,170.433
1778	Portville	3952	223,053.7593	4,662,387.485
1779	Carrollton	1410	198,962.369	4,663,146.113
1780	Marlborough	8263	584,064.6267	4,609,593.74
1781	Shawangunk	12022	561,175.8841	4,609,350.126
1782	Denning	516	542,780.8931	4,644,414.6
1783	Wawarsing	12889	548,495.2537	4,622,468.409
1784	Cochecton	1328	500,518.0932	4,614,181.497
1785	Plattekill	9892	577,285.2927	4,611,110.105
1786	Fallsburg	12234	532,948.4282	4,620,881.408
1787	Mamakating	11002	542,089.6386	4,603,932.573
1788	Thompson	14189	527,113.1464	4,610,678.348
1789	Beekman	11452	608,791.2179	4,606,649.918
1790	Tusten	1415	501,480.8046	4,603,504.55
1791	East Fishkill	25589	601,548.701	4,601,260.115
1792	Crawford	7875	556,959.7564	4,602,095.909
1793	Newburgh	27568	578,494.0045	4,600,464.978
1794	Highland	2404	509,277.2736	4,598,513.234
1795	Poughkeepsie	42777	590,979.87	4,613,694.249
1796	Wappinger	26274	592,365.5171	4,604,841.384
1797	Lumberland	1939	515,732.1619	4,593,614.877
1798	Forestburgh	833	525,305.4963	4,599,502.934
1799	Pawling	7521	616,947.5875	4,602,532.775
1800	Wallkill	24659	550,591.7856	4,592,815.879
1801	Bedford	18133	611,689.2413	4,564,587.092
1802	Pound Ridge	4726	619,521.5545	4,563,168.056
1803	New Castle	17491	602,996.0384	4,559,895.375
1804	Fishkill	20258	589,500.78	4,596,228.58
1805	Patterson	11306	617,534.6238	4,593,521.932
